阶段 0，第 1 章：宇宙

---

1.1 第一缕光

在遥远到没有任何人类时间概念可以涵盖的纪元里，整个宇宙被压缩成一个比原子还小的奇点，一个密度难以想象的点，在那里空间和时间尚未获得它们熟悉的性质。从这种难以理解的压缩中，宇宙以如此猛烈的力量向外爆发，以至于经历了一段指数级的膨胀，以一种违背直觉的速度扩张。只有在亿万年的逐渐冷却之后，当原始物质缓慢地消散其不可思议的热量时，第一束光才终于能够从密集的粒子雾中解脱出来，自由地穿越那新生的虚空，见证着宇宙最早的发光时刻。那古老的光芒，如今已被空间无情的膨胀拉长并减弱，仍然以微弱的微波背景辐射的形式弥漫在宇宙的各个方向；事实上，老式收音机频道之间可听到的静电嘶嘶声的一小部分，就是那原始黎明的余音。

Q1: 早期宇宙
A 没有重心。
B 被压缩成一个比原子还小的奇点。
C 仅由光构成，根本没有物质。
D 已经和今天一样大。
A1: B

Q2: 在初始爆炸之后，宇宙立即
A 瞬间冷却到现在的温度。
B 经历了一段指数级的膨胀。
C 持续黑暗了数十亿年。
D 重新坍缩回自身。
A2: B

Q3: 老式收音机之间的部分静电噪音是
A 来自过往卫星的干扰。
B 太阳风撞击电离层。
C 来自宇宙第一缕黎明的、挥之不去的微波背景辐射。
D 大气层中的静电放电。
A3: C

---

1.2 吞噬一切的黑暗

恒星会死亡，但质量最大的那些恒星死得轰轰烈烈。当一颗巨大的恒星最终耗尽了支撑其数十亿年的核燃料后，引力赢得了它之前一直在输的争论，恒星再也无法承受其自身外层巨大的重量。耗尽了燃料的核心向内弯曲，将其曾经包含的一切压缩成一个密度难以想象的点，在此阈值处，熟悉的物理定律开始失效。在那个点周围悬着一个看不见的边界，叫做事件视界，一旦有任何东西越过它，就什么也逃不出来：无线电信号、热量、甚至光——光通常在宇宙中跑得比什么都快——都无法逃脱。更奇怪的是，随着引力增强，时间本身也开始变慢。如果一艘宇宙飞船向内坠落，而一个遥远的观察者从安全的轨道上观看它的下降过程，那个观察者将永远无法真正看到飞船到达中心；她反而会观察到它的光线变暗，颜色变红，整艘飞船仿佛永远地徘徊在视界的边缘，而在飞船自身的参考系中，它早已被拉成一股稀薄的等离子体细流。这些黑洞并不是仅限于宇宙边缘的罕见异常现象。在我们观察过的几乎每个星系的中心，都潜伏着一个这样的黑洞，包括我们自己的银河系，在那里，它持续地吞噬着气体、尘埃以及偶尔飘得过近的不幸恒星。下一个惊喜则更加难以理解。

Q1: 当一颗巨大的恒星耗尽核燃料时
A 它会向外爆炸并完全消散。
B 引力获胜，核心坍缩成一个密度难以想象的点。
C 它会逐渐冷却成一颗棕矮星。
D 它会弹出核心，变成一颗行星。
A1: B

Q2: 在黑洞的事件视界处
A 热量可以逸出，但光不能。
B 对外部观察者来说，时间似乎加快了。
C 甚至连光都无法获得足够的逃逸速度。
D 物理定律表现得完全正常。
A2: C

Q3: 在自身的参考系内，落入黑洞的物质
A 会作为霍金辐射反弹出来。
B 被拉伸成一股稀薄的等离子体细流。
C 保持完整，永远在边缘处轨道运行。
D 蒸发成纯能量。
A3: B

---

1.3 看不见的流

太阳，尽管在我们头顶上炽热地闪耀着，却并不是一颗特殊的恒星。它只是构成银河系的一千亿颗天体中一颗不起眼的余烬，而银河系本身又是数以万亿计的星系中的一个，所有这些星系都围绕着一个望远镜尚未直接观测到的质量中心旋转。我们夜间看到的星座，仅仅是邻近恒星在更深的背景上偶然形成的图案；在它们身后延伸着由尘埃和气体构成的巨大发光星云，还有偶尔从太阳系冰冻的外围区域向内飞驰而来的彗星。当天文学家首次开始测量星系边缘附近恒星的轨道速度时，他们遇到了一个至今仍未减弱的难题：那些外围恒星绕转得如此之快，以至于根据我们所知的每一条引力定律，整个星系应该早就解体了。然而，星系们依然存在，连贯而完整。某种看不见的东西将这些恒星维系在它们的轨道上，某种天文学家迄今设计的任何仪器都未能直接探测到的东西。最终，他们将这些看不见的质量命名为暗物质，主要是因为科学共识需要有个称呼。然后，情况变得更加奇怪。数据显示，整个宇宙不仅在膨胀，而且是在加速向外膨胀，被一种更加难以捉摸的存在——我们现在称之为暗能量——所推动。一旦你把总量加起来，结论令人不安：我们观测或测量过的每一颗恒星、每一颗行星、每一个原子，仅仅构成了宇宙的百分之五。另外的百分之九十五，到目前为止，仍然是一片完全的空白。

Q1: 星系旋转得如此之快，以至于
A 它们从外部看起来是静止的。
B 根据我们所知的每一条引力定律，它们应该飞散开来，但它们却没有。
C 它们外缘的恒星即将逃逸到星际空间。
D 它们中心的黑洞仍在增长。
A1: B

Q2: 宇宙的膨胀
A 以恒定速率稳定进行。
B 由于引力拖拽而正在减速。
C 正在加速向外膨胀，由一种称为暗能量的难以捉摸的存在所推动。
D 将会逆转，导致未来发生坍缩。
A2: C

Q3: 我们观察过的每一颗恒星、行星和原子
A 构成了宇宙的全部质量。
